Modelo,Valor,Local
iPhone oito plus,1100.0,Fortaleza Dom Lustosa
iPhone 7plus 128 gb.,1100.0,Caucaia Parque Leblon
iPhone 7 Plus 128gb rose ,1100.0,Fortaleza Parquelândia
IPHONE 7 PLUS ,1100.0,Fortaleza Siqueira
iPhone 8 256GB,1100.0,Fortaleza Montese
iPhone XR 64gb,1100.0,Pacajus
IPHONE 8 Plus 64gb,1100.0,Fortaleza Maraponga
iPhone 8 Plus ,1100.0,Fortaleza Canindezinho
iPhone 8 Plus ,1100.0,Fortaleza Parque Presidente Vargas
iPhone ,1100.0,Fortaleza Monte Castelo
iPhone 7 plus,1100.0,Fortaleza Mondubim
iPhone 8 64 GB seminovo sem marcas de uso ,1150.0,Fortaleza Manoel Sátiro
iPhone 8,1150.0,Fortaleza Presidente Kennedy
IPhone 8 plus 64gb ,1150.0,Fortaleza Guararapes
IPHONE 8 PLUS,1150.0,Fortaleza Mondubim
iPhone 7 Plus ,1150.0,Fortaleza Granja Lisboa
iPhone SE 2ª geração - 2020,1150.0,Fortaleza Messejana
iPhone 7 Plus 128g dourado ,1170.0,Fortaleza Mondubim
Iphone 8,1170.0,Fortaleza Henrique Jorge
iPhone 8 black impecável ,1179.0,Eusébio Pires Façanha
iPhone 8 ,1200.0,Fortaleza Damas
Vendo iPhone 8 Plus 64,1200.0,Caucaia Nova Metrópole (Jurema)
iPhone 8 64gb,1200.0,Maracanaú Jereissati II
iPhone 7 Plus 128 GB,1200.0,Horizonte Planalto Horizonte
iPhone 8 plus,1200.0,Maracanaú Luzardo Viana
 iPhone 8 Plus (64GB),1200.0,Fortaleza Aldeota
iPhone 8,1200.0,Fortaleza Planalto Ayrton Senna
iPhone 8 plus,1200.0,Maracanaú Alto Alegre II
iPhone 8plus 1200,1200.0,Fortaleza Maraponga
Vendo iPhone 8 Plus ,1200.0,Fortaleza Antônio Bezerra
iPhone 8 ,1200.0,Caucaia Araturi (Jurema)
